id,products_id,features_id,contents,is_additional
1,1,1,"모든 피부, 메이크업을 한 피부",
2,1,2,"진정된, 생기있는",
3,1,3,"그레이프 씨드, 토코페롤, 마트리카리아꽃오일(블루 카모마일)",
4,2,1,"중성, 복합성, 건성, 민감성 피부",
5,2,2,"부드러운, 진정된",
6,2,3,"마카다미아 씨, 토코페롤, 베타 카로틴",
7,3,1,모든 피부,
8,3,2,"진정된, 부드러운, 가벼운
",
9,3,3,"파슬리 씨드, 라벤더, 마트리카리아꽃오일",
10,4,1,"대부분의 피부 타입, 지성, 문제성 피부",
11,4,2,"시원한, 깨끗한, 매트한 마무리",
12,4,3,"비터 오렌지, 위치 헤이즐, 로즈마리 리프",
13,5,1,"모든 피부, 지성, 복합성 피부",
14,5,2,"시원한, 가벼운",
15,5,3,"파슬리 씨드, 라벤더, 블루 카모마일",
16,6,1,"모든 피부, 건성 피부",
17,6,2,"수분 및 영양 공급, 부드러운 마무리",
18,6,3,"소듐 아스코빌 포스페이트, 토코페롤, 소듐 락테이트",
19,7,1,모든 피부 타입. 특히 건조하고 갈라진 입술에 효과적,
20,7,2,"풍부한 영양, 매끄럽고, 부드러운",
21,7,3,"그레이프프루트 라인드, 시더 아틀라스, 오렌지 라인드",
22,8,4,직경 130mm X 높이 49mm,
23,9,5,안목있는 쉐이버,
24,9,2,"부드러움, 매끄러움",
25,10,3,영국 장인이 제작한 핸드 메이드,
26,11,2,"깔끔한, 상쾌한",
27,11,6,"시트러스, 우드, 허브",
28,11,3,"만다린, 로즈마리 리프, 시더우드 아틀라스",
29,12,2,"부드러운, 유분기 없는",
30,12,6,"시트러스, 우드, 허브",
31,12,3,"만다린, 로즈마리 리프, 시더우드 아틀라스",
32,13,2,"따뜻함, 깨끗함, 상쾌함",
33,13,6,"플로랄, 스파이시, 따뜻함",
34,13,3,"로즈, 카다멈, 블랙 페퍼",
35,14,2,"집중 수분 공급, 부드러움",
36,14,6,"우디, 가벼운 시트러스향",
37,14,3,"오렌지, 호호바 씨드, 로렐 리프",
38,15,2,"탄력, 부드러움, 촉촉함",
39,15,6,"그린, 시트러스, 상쾌함",
40,15,3,"제라늄 리프, 만다린, 베르가못",
41,16,7,"모든 성별, 탐험가, 쾌락주의자, 인습 타파 주의자",
42,16,6,"우디, 스파이시, 플로럴",
43,16,3,"정향, 백단향, 카다멈",
44,17,7,"모든 성별, 복고주의자, 탐미주의자, 일광욕을 즐기는 사람들",
45,17,6,"상쾌한, 그린, 시트러스",
46,17,3,"유자, 베티버, 바질",
47,18,7,"모든 성별, 개척자, 모더니스트, 유목민",
48,18,6,"플로럴, 그린, 우디",
49,18,3,"로즈, 시소, 과이악우드",
50,19,8,"그린, 플로럴, 시트러스",
51,19,9,"모든 성별, 철학자, 사회의 관찰자, 낭만주의자",
52,19,3,"갈바눔, 아이리스, 유자",
53,20,7,"모든 성별, 자유 사상가, 엉뚱한 사람, 방랑자",
54,20,6,"스모키, 우드, 깊은",
55,20,3,"사이프러스, 프랑킨센스, 베티버",
56,1,11,5-7방울,TRUE
57,1,12,"가벼운, 오일 타입",TRUE
58,1,6,"허브향, 플로랄, 너티",TRUE
59,2,11,한 티스푼과 물 3~5방울,TRUE
60,2,12,"수용성, 오일 타입",TRUE
61,2,6,"허브향, 플로랄, 너티",TRUE
62,3,11,반 티스푼,TRUE
63,3,12,워터 제형,TRUE
64,3,6,"허브, 플로럴, 프레시",TRUE
65,4,11,반 티스푼,TRUE
66,4,12,워터 제형,TRUE
67,4,6,"시트러스, 프레쉬",TRUE
68,5,11,3-5방울,TRUE
69,5,12,중간정도 무게감의 세럼,TRUE
70,5,6,"허브, 플로럴, 프레시",TRUE
71,6,11,4분의 1 티스푼,TRUE
72,6,12,"리치한, 크림 타입",TRUE
73,6,6,"허브, 플로럴, 프레시",TRUE
74,7,11,입술을 도포할 만큼 충분한 양,TRUE
75,7,12,은은한 광택이 있는 매끄러운 오일 젤,TRUE
76,7,6,"상쾌한, 우디, 시트러스",TRUE
77,9,13,"먼저 뜨거운 물에 브러쉬를 적신 후 톡톡 털어줍니다. 다음으로 손바닥이나 쉐이빙 볼에 이솝의 모로칸 네롤리 쉐이빙 세럼을 적당량 덜어 브러쉬로 부드럽게 저어주세요. 가장 풍성하게 거품을 내고 싶다면 소리 야나기가 디자인한 이솝의 스테인리스 스틸 볼을 추천합니다.
물기가 있는 상태의 피부에 원을 그리며 거품을 발라줍니다. 누워있던 수염을 일으켜주고 피부 표면에 밀착시켜 더욱 빈틈없이 매끈한 면도를 가능하게 도와줍니다. 
면도 후에는 원하시는 이솝의 토너와 모로칸 네롤리 포스트 쉐이브 로션을 피부에 발라줍니다. 피부가 수분과 균형을 찾고 부드럽게 가꾸어집니다.",TRUE
78,9,14,깨끗하고 따뜻한 물에 브러쉬를 깨끗하게 씻어줍니다. 수건으로 부드럽게 닦아내고 통풍이 잘 되는 곳에서 건조시킵니다. 밀폐된 주머니나 찬장에 젖은 브러쉬를 장기간 보관하지 마십시오.,TRUE
79,11,11,펌프 1회,TRUE
80,11,12,"거품이 적은, 젤 타입",TRUE
81,12,11,반 티스푼,TRUE
82,12,12,크림 타입,TRUE
83,13,11,필요한 만큼,TRUE
84,13,12,투명하고 거품이 적은 젤,TRUE
85,14,11,1티스푼,TRUE
86,14,12,중간 정도 무게감의 오일,TRUE
87,14,15,더 촉촉한 피부를 위해 이솝 하이드레이팅 밤에 세 방울에서 다섯 방울 정도를 섞어 사용하세요.,TRUE
88,15,11,원하는 만큼의 양,TRUE
89,15,12,중간 정도 무게감의 크림,TRUE
90,16,17,"유자, 베르가못, 그레이프프루트",TRUE
91,16,18,"미모사, 그린티, 과이악우드",TRUE
92,16,19,"갈바눔, 아이리스, 파촐리",TRUE
93,17,17,"로즈, 핑크 페퍼, 시소",TRUE
94,17,18,"로즈, 과이악우드, 재스민",TRUE
95,17,19,"베티버, 파촐리, 미르",TRUE
96,18,17,"타임, 엘레미, 핑크 페퍼",TRUE
97,18,18,"사이프러스, 스웨이드, 제라늄",TRUE
98,18,19,"베티버, 프랑킨센스, 시더",TRUE
99,19,17,"베르가못, 네롤리, 재스민",TRUE
100,19,18,"로즈, 카다멈, 파촐리",TRUE
101,19,19,"샌달우드, 시더우드, 클로브",TRUE
102,20,17,"유자, 바질 그랜드 베르트, 클로브",TRUE
103,20,18,"로즈마리. 민트, 펜넬",TRUE
104,20,19,"시더우드, 베티버 하트, 앰버",TRUE