Id,sub_category_id,Products_name,products_contents,additional_image_url,additional_image_url,additional_content
1,1,리무브,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,https://images.unsplash.com/photo-1522918279596-eb92d4d75259?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,사용법,"젖은 화장솜에 덜어 눈 주위에 지긋이 눌러 아이 메이크업 제품이 용해될 때까지 기다렸다 닦아냅니다. 여러 번 닦아내줍니다.
"
2,1,파슬리 씨드 페이셜 클렌징 오일,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,https://images.unsplash.com/photo-1603503303419-3b90c947735b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,사용법,"아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다.
"
3,2,파슬리 씨드 안티 옥시던트 페이셜 토너,피부 진정과 수분 공급을 위한 부드러운 토너,https://images.unsplash.com/photo-1551651056-2cb4d5c104be?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,사용법,"세안 후 화장솜이나 손에 직접 덜어내어 사용합니다.
"
4,2,비터 오렌지 아스트린젠트 토너,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,https://images.unsplash.com/photo-1550684848-86a5d8727436?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,사용법,"아침과 저녁, 화장솜이나 손에 직접 덜어내어 깨끗한 얼굴과 목에 두드리세요.
"
5,3,파슬리 씨드 안티 옥시던트 아이 세럼,비타민 C 유도체 성분을 함유하여 풍부한 수분과 영양을 공급하는 아이 세럼,https://images.unsplash.com/photo-1620916297397-a4a5402a3c6c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,사용법,"세안 후 토너를 바른 피부에 사용하며, 눈가 주변에 두드려 발라주고 스며들때까지 부드럽게 마사지합니다.
"
6,3,파슬리 씨드 옥시던트 아이 크림,비타민 C 유도체와 E를 풍부하게 함유한 효과적인 항산화* 블렌드로 눈가의 섬세한 피부에 영양을 공급하고 탄탄하게 지탱해 주는 아이 크림 (*1. 실험기관 : dermscan 2. 실험기간 : 2019년 2월 15일 3. 실험내용 : 항산화 효과),https://images.unsplash.com/photo-1608068811588-3a67006b7489?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1171&q=80,사용법,"눈 주위의 피부에 얹은 후 흡수될 때까지 부드럽게 발라줍니다.
"
7,3,시더 & 시트러스 립 살브,건조하고 갈라진 입술에 뛰어난 보습을 전하는 풍부한 영양의 립 케어 제품으로 식물성 기반의 에몰리언트를 함유해 매끄럽고 부드럽게 가꿔줍니다.,https://images.unsplash.com/photo-1585939268339-886c9643ee98?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=735&q=80,사용법,"튜브를 가볍게 짜서 입술 위에 펴 발라 주세요.
"
8,4,스테인리스 스틸 보울,"소리 야나기(Sori Yanagi)의 디자인, 스테인리스 스틸 쉐이빙 보울. 이솝의 쉐이빙 브러쉬 및 쉐이빙 제품과의 완벽한 조합",https://images.unsplash.com/photo-1616169397154-dc0e4fdf3664?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,사용법,이솝 모로칸 네롤리 쉐이빙 세럼을 1-2회 펌핑하여 보울에 담아 쉐이빙 브러쉬로 저어주세요. 사용 후에는 보울을 헹구고 건조시킵니다.
9,4,쉐이빙 브러쉬,인조 실버팁 섬유를 사용하여 부드러운 감촉을 제공하면서 가벼운 각질 케어와 헤어 리프트를 도와주는 영국 핸드메이드 쉐이빙 브러쉬,https://images.unsplash.com/photo-1524230616393-d6229fcd2eff?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,사용법,"브러쉬는 구매 즉시 사용이 가능합니다. 처음 거품을 내기 전, 뜨거운 물로 브러쉬를 깨끗하게 세정해주세요.
"
10,4,더블-엣지 레이저,손수 제작한 더블-엣지 레이저는 고밀도 손잡이와 크롬 도금 처리된 면도날 헤드가 완벽한 균형을 이루어 깔끔한 면도를 가능하게 합니다. 스테인리스 스틸 머쿠어 졸링겐 더블-엣지 레이저 블레이드 10개와 함께 포장되어 판매됩니다.,https://images.unsplash.com/photo-1629261651616-00c3e07ca6e8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80,,
11,5,레저렉션 아로마틱 핸드 워시,"오렌지, 로즈마리, 라벤더 오일을 함유한 부드러운 핸드 워시",https://images.unsplash.com/photo-1508759073847-9ca702cec7d2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,사용법,"젖은 손에 덜어 내어 거품을 낸 다음 깨끗하게 헹굽니다.
"
12,5,레저렉션 아로마틱 핸드 밤,지친 손과 큐티클에 풍부한 수분을 공급해주는 6긋한 보태니컬 핸드 밤,,사용법,"필요할 때마다 깨끗한 손에 바릅니다.
"
13,6,에이 로즈 바이 애니 아더 네임 바디 클렌저,우수한 품질의 다마스크장미꽃오일과 피부를 부드럽게 가꿔주는 식물성 추출물을 함유해 부드러우면서 꼼꼼한 세정을 전하는 6기로운 클렌징 젤,https://images.unsplash.com/photo-1620946419923-06eec7e45220?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=688&q=80,사용법,"손 또는 샤월 볼에 충분히 덜어 목에서 발끝까지 젖은 피부에 마사지 한 후 완전히 헹굽니다.
"
14,6,브레스리스,"영양이 풍부한 넛트 오일, 피부를 부드럽게 해주는 센티드제라늄추출물, 6기로운 시트러스 추출물을 함유한 바디 밤",,사용법,"몸을 깨끗하게 씻은 뒤 팔꿈치, 무릎, 발 등의 건조한 부위를 집중적으로 마사지합니다.
"
15,6,제라늄 리프 바디 밤,"영양이 풍부한 넛트 오일, 피부를 부드럽게 해주는 센티드제라늄추출물, 6기로운 시트러스 추출물을 함유한 바디 밤",,,"아침 저녁으로 몸을 깨끗하게 씻은 후 몸 전체에 발라줍니다. 특히, 팔꿈치, 무릎, 발 등의 건조한 부위를 집중적으로 마사지합니다.
"
16,7,에레미아 오 드 퍼퓸,"밝은 시트러스 노트로 시작해 밀랍의 플로럴, 파우더리 머스크, 비 내린 뒤 콘크리트 내음으로 이어지는 활기차고 상쾌한 6수입니다.",,,"자극적인, 밀랍의, 머스티
"
17,8,로즈 오 드 퍼퓸,"장미 6이지만 활기찬 시소 6, 우드, 스파이스, 흙내음, 가벼운 스모크가 더해진 미묘하고 풍성한 노트로 부드러우면서 강렬한 6수",,,"상쾌한 플로럴 향과 스파이스하고 풍성한 흙내음
"
18,9,휠 오 드 퍼퓸,"남다른 느낌을 자아내는 매혹적인 6수. 히노키 숲을 연상시키며 스모키 노트를 시작으로 은은한 스파이스와 짙은 그린, 흙내음이 조화롭게 어우러집니다.",,,"복잡하면서 편안한
"
19,10,마라케시 오 드 퍼퓸,우디한 스파이시 노트와 산뜻한 플로럴 노트의 원초적이고 통념을 깨는 6수로 같은 이름의 도시인 모로코 마라케시 도시에 대한 깊고 풍부하며 매혹적인 오마주.,,,"밝고 생기 넘치는 톤을 시작으로 펼쳐지는 세련된 베이스 노트
"
20,11,테싯 오 드 퍼퓸,마음을 차분하게 가라앉혀주고 우리 몸의 감각을 일깨워주는 흙내음과 시트러스 노트의 따뜻하고 생기 넘치는 블렌드,,,"은은한 스파이스의 언더톤으로 활기차고 상큼한 향기
"