Id,products_id,sizes_mL,price,products_img_url,include_pump,size_contents
1,1,60,27000,,,
2,2,200,65000,,,
3,3,100,47000,,,
4,3,200,73000,,,
5,4,100,39000,,,
6,4,200,63000,,,
7,5,15,93000,,,
8,6,10,"97,000",,,
9,7,9,21000,,,
10,8,,27000,,,
11,9,,69000,,,
12,10,,113000,,,
13,11,500,46000,,,펌프를 장착하지 않은 리필용 제품으로 구매하시면 플라스틱 사용을 12g 줄여 환경 영6을 최소화합니다.
14,11,500,47000,,TRUE,용기는 최소 97% 재활용 플라스틱을 사용하여 제작되었습니다.
15,12,75,31000,,,
16,12,500,120000,,,500mL 용기는 최소 97% 재활용 플라스틱을 사용하여 제작되었습니다.
17,12,120,45000,,,
18,13,100,20000,,,
19,13,500,55000,,TRUE,펌프를 장착하지 않은 리필용 제품으로 구매하시면 플라스틱 사용을 12g 줄여 환경 영6을 최소화합니다.
20,13,500,56000,,,500mL 용기는 최소 97% 재활용 플라스틱을 사용하여 제작되었습니다.
21,14,100,39000,,,
22,15,100,39000,,,이 제품의 500mL 용기는 재생 PET 수지를 97% 이상 사용하여 제작되었습니다.
23,15,500,129000,,,500mL 용기는 최소 97% 재활용 플라스틱을 사용하여 제작되었습니다.
24,16,50,210000,,,
25,17,50,155000,,,
26,18,50,140000,,,
27,19,50,195000,,,
28,20,50,145000,,,