Id,ms_categories_id,category
1,1,클렌저
2,1,각질 제거
3,1,트리트먼트 & 마스크
4,1,토너
5,1,하이드레이터
6,1,립 & 아이
7,1,쉐이빙
8,1,선 케어
9,1,키트
10,6,중성
11,6,건성
12,6,지성
13,6,복합성
14,7,이그절티드 아이 세럼
15,2,핸드
16,2,바디
17,2,퍼스널 케어
18,2,번들
19,2,핸드 및 바디 케어 기프트
20,9,제라늄 리프
21,10,레저렉션 아로마틱 핸드 밤
22,10,레저렉션 아로마틱 핸드 워시
23,10,제라늄 리프 듀엣
24,3,샴후
25,3,컨디셔너
26,3,트리트먼트
27,3,그루밍
28,8,샴푸
29,8,컨디셔너
30,11,미라세티
31,11,카르스트
32,11,에레미아
33,11,로즈
34,11,휠
35,11,마라케시
36,11,테싯
37,12,플로럴
38,12,프레쉬
39,12,우디
40,12,오퓰런트
41,13,테싯 앙상블
42,13,휠 앙상블
43,13,로즈 앙상블
44,4,홈 모두 보기
45,4,홈
46,4,문학
47,4,홈 케어 기프트
48,14,프톨레미 아로마틱 캔들
49,14,칼리푸스 아로마틱 캔들
50,5,키트 & 여행 제품 모두 보기
51,5,시즈널 기프트 키트
52,5,스킨케어 키트
53,5,바디 & 핸드케어 키드
54,5,여행
55,15,전체 기프트
56,15,감사와 존경의 표시
57,15,시즈널 기프트 키트
58,15,이솝에서 사랑받는 제품들
59,15,관대한 선물
60,15,기프트 번들
61,15,홈 케어 기프트
62,15,나를 위한 선물
63,15,트래블 기프트
64,15,작은 제스처